Linha,214
Tabela,002
num,ponto,horario
105910,TERMINAL SANTA CANDIDA,05:30
104410,TERMINAL CABRAL,05:50
105910,TERMINAL SANTA CANDIDA,06:12
104410,TERMINAL CABRAL,06:35
105910,TERMINAL SANTA CANDIDA,07:02
104410,TERMINAL CABRAL,07:30
105910,TERMINAL SANTA CANDIDA,07:58
104410,TERMINAL CABRAL,08:30
105910,TERMINAL SANTA CANDIDA,08:58
104410,TERMINAL CABRAL,09:26
105910,TERMINAL SANTA CANDIDA,09:50
104410,TERMINAL CABRAL,10:15
105910,TERMINAL SANTA CANDIDA,10:40
104410,TERMINAL CABRAL,11:05
105910,TERMINAL SANTA CANDIDA,11:30
104410,TERMINAL CABRAL,11:55
105910,TERMINAL SANTA CANDIDA,12:20
104410,TERMINAL CABRAL,12:45
105910,TERMINAL SANTA CANDIDA,13:10
104410,TERMINAL CABRAL,13:35
105910,TERMINAL SANTA CANDIDA,14:00
104410,TERMINAL CABRAL,14:25
105910,TERMINAL SANTA CANDIDA,14:50
104410,TERMINAL CABRAL,15:15
105910,TERMINAL SANTA CANDIDA,15:40
104410,TERMINAL CABRAL,16:06
105910,TERMINAL SANTA CANDIDA,16:34
104410,TERMINAL CABRAL,17:04
105910,TERMINAL SANTA CANDIDA,17:37
104410,TERMINAL CABRAL,18:07
105910,TERMINAL SANTA CANDIDA,18:45
104410,TERMINAL CABRAL,19:13
105910,TERMINAL SANTA CANDIDA,19:50
104410,TERMINAL CABRAL,20:15
105910,TERMINAL SANTA CANDIDA,20:40
104410,TERMINAL CABRAL,21:00
105910,TERMINAL SANTA CANDIDA,21:25
104410,TERMINAL CABRAL,21:45
105910,TERMINAL SANTA CANDIDA,22:10
104410,TERMINAL CABRAL,22:30
105910,TERMINAL SANTA CANDIDA,22:55
104410,TERMINAL CABRAL,23:15
105910,TERMINAL SANTA CANDIDA,23:40
104410,TERMINAL CABRAL,00:00
105910,TERMINAL SANTA CANDIDA,00:25
