Linha,226
Tabela,001-2
num,ponto,horario
104207,TERMINAL BOA VISTA,17:12
120182,BAIRRO ABAETE,17:35
104207,TERMINAL BOA VISTA,17:58
120182,BAIRRO ABAETE,18:24
104207,TERMINAL BOA VISTA,18:46
120182,BAIRRO ABAETE,19:12
104207,TERMINAL BOA VISTA,19:34
120182,BAIRRO ABAETE,19:58
104207,TERMINAL BOA VISTA,20:20
120182,BAIRRO ABAETE,20:38
104207,TERMINAL BOA VISTA,20:56
120182,BAIRRO ABAETE,21:16
104207,TERMINAL BOA VISTA,21:35
120182,BAIRRO ABAETE,22:00
104207,TERMINAL BOA VISTA,22:20
120182,BAIRRO ABAETE,22:40
104207,TERMINAL BOA VISTA,23:02
120182,BAIRRO ABAETE,23:20
104207,TERMINAL BOA VISTA,23:38
120182,BAIRRO ABAETE,00:00
104207,TERMINAL BOA VISTA,00:20
