Linha,X48
Tabela,001-1
num,ponto,horario
110464,PRAÇA EUFRASIO CORREIA,05:32
102014,PRACA RUI BARBOSA,05:41
110464,PRAÇA EUFRASIO CORREIA,05:50
102014,PRACA RUI BARBOSA,05:59
110464,PRAÇA EUFRASIO CORREIA,06:08
102014,PRACA RUI BARBOSA,06:17
110464,PRAÇA EUFRASIO CORREIA,06:26
102014,PRACA RUI BARBOSA,06:35
110464,PRAÇA EUFRASIO CORREIA,06:44
102014,PRACA RUI BARBOSA,06:53
110464,PRAÇA EUFRASIO CORREIA,07:02
102014,PRACA RUI BARBOSA,07:11
110464,PRAÇA EUFRASIO CORREIA,07:20
102014,PRACA RUI BARBOSA,07:29
110464,PRAÇA EUFRASIO CORREIA,07:38
102014,PRACA RUI BARBOSA,07:47
110464,PRAÇA EUFRASIO CORREIA,07:56
102014,PRACA RUI BARBOSA,08:05
110464,PRAÇA EUFRASIO CORREIA,08:14
102014,PRACA RUI BARBOSA,08:23
110464,PRAÇA EUFRASIO CORREIA,08:32
