Linha,X94
Tabela,001
num,ponto,horario
141071,EMP. SÃO JOSÉ,06:00
108113,ESTAÇÃO TUBO MARUMBI,07:00
108071,ESTAÇÃO TUBO A. GONÇALVES,08:15
108146,ESTAÇÃO TUBO CAJURU,09:30
108222,ESTAÇÃO TUBO J. BOTÂNICO,11:00
141071,EMP. SÃO JOSÉ,12:00
108113,ESTAÇÃO TUBO MARUMBI,13:00
108071,ESTAÇÃO TUBO A. GONÇALVES,14:15
108146,ESTAÇÃO TUBO CAJURU,15:30
108222,ESTAÇÃO TUBO J. BOTÂNICO,17:00
141071,EMP. SÃO JOSÉ,18:00
108113,ESTAÇÃO TUBO MARUMBI,19:00
108071,ESTAÇÃO TUBO A. GONÇALVES,20:15
108146,ESTAÇÃO TUBO CAJURU,21:30
108222,ESTAÇÃO TUBO J. BOTÂNICO,23:00
